id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,color,quality,date_added
3364,7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,white,neutral,2024-09-01
3365,10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,red,neutral,2024-08-18
3366,8,0.2,0.36,1.2,0.032,21,78,0.9921,3.08,0.37,10.4,white,neutral,2024-06-05
3367,7,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1,white,neutral,2022-03-29
3368,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,red,slightly satisfied,2022-06-08
3369,6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,white,neutral,2023-06-09
3370,5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,white,extremly dissatisfied,2024-08-20
3371,7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,white,slightly dissatisfied,2024-05-28
3372,6.7,0.34,0.3,8.5,0.059,24,152,0.99615,3.46,0.64,11,white,slightly satisfied,2023-04-09
3373,6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,white,slightly dissatisfied,2023-11-03
3374,6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,white,neutral,2024-09-14
3375,6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,white,neutral,2023-12-25
3376,7.3,0.2,0.26,1.6,0.04,36,123,0.99238,3.34,0.44,10.8,white,neutral,2022-03-17
3377,6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,white,neutral,2024-11-24
3378,11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,red,slightly dissatisfied,2022-01-01
3379,7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,white,slightly dissatisfied,2022-03-02
3380,7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,white,slightly dissatisfied,2022-07-05
3381,6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,white,slightly dissatisfied,2024-11-16
3382,5.7,0.16,0.26,6.3,0.043,28,113,0.9936,3.06,0.58,9.9,white,neutral,2022-12-21
3383,6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10,white,neutral,2022-04-28
3384,6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,white,neutral,2024-08-05
3385,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,white,slightly satisfied,2024-05-30
3386,7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,red,slightly satisfied,2024-11-12
3387,6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,white,neutral,2022-07-11
3388,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,white,slightly satisfied,2023-04-15
3389,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,white,slightly dissatisfied,2024-12-06
3390,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,red,slightly dissatisfied,2022-10-24
3391,6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,red,slightly dissatisfied,2023-10-05
3392,7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,red,moderately satisfied,2023-06-01
3393,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,white,slightly dissatisfied,2024-09-07
3394,6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,white,slightly satisfied,2024-12-06
3395,7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,white,neutral,2023-06-13
3396,7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,red,slightly dissatisfied,2024-09-28
3397,6.6,0.32,0.24,1.3,0.06,43,204,0.99512,3.59,0.51,9.2,white,slightly dissatisfied,2023-05-31
3398,8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,white,moderately satisfied,2024-07-19
3399,5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,white,neutral,2024-08-08
3400,6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,white,slightly satisfied,2022-04-11
3401,6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,white,neutral,2024-04-18
3402,6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,white,slightly dissatisfied,2023-03-09
3403,7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,red,slightly dissatisfied,2023-04-08
3404,9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,red,slightly dissatisfied,2023-07-03
3405,6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,white,neutral,2022-11-16
3406,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,white,neutral,2023-11-27
3407,7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,white,slightly dissatisfied,2022-11-22
3408,6,0.56,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,white,slightly dissatisfied,2023-10-18
3409,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,white,slightly dissatisfied,2022-09-07
3410,7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,white,neutral,2023-01-01
3411,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,white,slightly satisfied,2022-01-06
3412,7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,white,slightly dissatisfied,2022-10-13
3413,7.7,0.72,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,red,neutral,2023-04-10
3414,6.5,0.89,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,red,slightly dissatisfied,2024-10-12
3415,6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,white,neutral,2024-07-16
3416,10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,red,slightly satisfied,2024-03-13
3417,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,red,neutral,2023-01-25
3418,6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,white,moderately satisfied,2022-06-06
3419,6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,white,neutral,2022-01-25
3420,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,white,slightly dissatisfied,2024-07-27
3421,6.7,0.12,0.3,5.2,0.048,38,113,0.99352,3.33,0.44,10.1,white,slightly satisfied,2023-06-21
3422,8,0.29,0.29,13.2,0.046,26,113,0.9983,3.25,0.37,9.7,white,neutral,2024-10-14
3423,7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,red,slightly dissatisfied,2024-03-04
3424,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,red,slightly satisfied,2023-09-03
3425,7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,white,slightly dissatisfied,2024-02-19
3426,5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,red,neutral,2023-01-19
3427,6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,white,slightly dissatisfied,2023-06-01
3428,6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,white,slightly dissatisfied,2022-07-28
3429,7.6,0.31,0.52,13.2,0.042,61,148,0.99839,2.98,0.47,9.1,white,neutral,2023-10-11
3430,9.4,0.69,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,red,neutral,2024-06-28
3431,7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,white,neutral,2023-12-08
3432,7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,red,neutral,2023-02-11
3433,6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,red,neutral,2023-04-11
3434,7.3,0.29,0.37,8.3,0.044,45,227,0.9966,3.12,0.47,9,white,slightly dissatisfied,2022-07-25
3435,8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,white,neutral,2022-01-24
3436,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,red,slightly dissatisfied,2022-10-10
3437,7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,white,neutral,2022-08-07
3438,7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,white,moderately dissatisfied,2022-01-14
3439,8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,red,slightly dissatisfied,2024-09-27
3440,6.4,0.12,0.49,6.4,0.042,49,161,0.9945,3.34,0.44,10.4,white,neutral,2024-09-10
3441,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,red,slightly dissatisfied,2022-01-02
3442,6.5,0.19,0.32,1.4,0.04,31,132,0.9922,3.36,0.54,10.8,white,slightly satisfied,2024-05-12
3443,6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,white,slightly dissatisfied,2023-06-08
3444,6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,white,neutral,2024-02-19
3445,7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,white,slightly dissatisfied,2022-11-27
3446,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,red,neutral,2024-05-20
3447,6.3,0.18,0.36,1.2,0.034,26,111,0.99074,3.16,0.51,11,white,neutral,2022-02-14
3448,6.3,0.2,0.19,12.3,0.048,54,145,0.99668,3.16,0.42,9.3,white,neutral,2022-02-15
3449,8.2,0.89,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,red,slightly dissatisfied,2022-07-18
3450,8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11,white,slightly satisfied,2024-07-10
3451,5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,white,slightly satisfied,2022-07-29
3452,6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,white,neutral,2024-01-13
3453,8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2,white,slightly dissatisfied,2024-02-14
3454,9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,white,slightly dissatisfied,2023-11-21
3455,7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,red,neutral,2022-01-02
3456,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,white,slightly dissatisfied,2024-08-01
3457,7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,white,slightly satisfied,2024-01-24
3458,8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,red,neutral,2024-04-10
3459,6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,white,slightly dissatisfied,2024-01-31
3460,7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,red,slightly dissatisfied,2024-02-27
3461,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,red,neutral,2022-09-09
3462,6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,white,moderately dissatisfied,2024-04-17
3463,10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,red,slightly dissatisfied,2024-11-15
3464,7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13,white,neutral,2023-03-07
3465,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,white,slightly dissatisfied,2024-01-22
3466,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,white,slightly satisfied,2023-06-04
3467,6.8,0.25,0.37,3.1,0.026,29,93,0.99035,3.14,0.45,12.2,white,neutral,2023-09-01
3468,6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,white,slightly dissatisfied,2023-06-09
3469,6.5,0.43,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,white,slightly dissatisfied,2023-11-30
3470,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,red,slightly satisfied,2024-05-03
3471,6.4,0.48,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,white,slightly dissatisfied,2024-11-19
3472,8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,white,neutral,2022-03-22
3473,6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,white,slightly satisfied,2022-03-08
3474,6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,white,neutral,2024-03-13
3475,7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,white,moderately dissatisfied,2023-12-08
3476,6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,white,neutral,2024-07-31
3477,7.9,0.3,0.27,8.5,0.036,20,112,0.9939,2.96,0.46,11.7,white,neutral,2022-10-21
3478,8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,red,slightly dissatisfied,2024-02-08
3479,8.6,0.16,0.49,7.3,0.043,9,63,0.9953,3.13,0.59,10.5,white,neutral,2024-05-05
3480,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,white,slightly dissatisfied,2022-01-05
3481,7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,white,slightly dissatisfied,2022-06-26
3482,7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,white,moderately dissatisfied,2024-05-20
3483,7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,white,neutral,2023-10-29
3484,7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,white,neutral,2023-06-12
3485,6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,white,slightly dissatisfied,2022-01-11
3486,6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,white,neutral,2023-09-19
3487,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,red,slightly dissatisfied,2024-01-18
3488,14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,red,neutral,2023-03-26
3489,5.6,0.26,0.57,10.7,0.056,66,171,0.99464,3.25,0.61,10.4,white,slightly satisfied,2023-06-01
3490,6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,white,slightly dissatisfied,2024-02-11
3491,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,red,slightly dissatisfied,2024-12-08
3492,6.6,0.12,0.25,1.4,0.039,21,131,0.99114,3.2,0.45,11.2,white,slightly satisfied,2022-04-10
3493,7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,white,slightly dissatisfied,2023-08-31
3494,6.8,0.37,0.67,1.5,0.175,16,98,0.99244,3.06,0.56,10.3,white,neutral,2024-02-29
3495,6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,white,slightly dissatisfied,2024-08-26
3496,7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,white,neutral,2022-02-28
3497,6,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,white,slightly dissatisfied,2023-07-24
3498,5.8,0.35,0.29,3.2,0.034,41,151,0.9912,3.35,0.58,11.63,white,slightly satisfied,2023-12-22
3499,8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,white,neutral,2023-10-24
3500,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,white,slightly satisfied,2023-06-22
3501,6.4,0.28,0.22,12.8,0.039,51,150,0.99535,3.23,0.43,10.7,white,neutral,2022-11-27
3502,7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,white,slightly dissatisfied,2024-10-19
3503,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,white,slightly dissatisfied,2022-08-09
3504,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,red,slightly dissatisfied,2022-05-29
3505,7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,red,neutral,2022-01-18
3506,5.8,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,white,slightly satisfied,2023-11-08
3507,7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,white,neutral,2022-01-20
3508,7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,white,neutral,2023-01-12
3509,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,white,neutral,2022-09-04
3510,9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,red,slightly dissatisfied,2023-11-04
3511,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,red,slightly dissatisfied,2023-11-13
3512,7.5,0.76,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,red,moderately dissatisfied,2022-08-26
3513,7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3,white,slightly dissatisfied,2023-11-12
3514,8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,white,neutral,2024-04-16
3515,5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,white,neutral,2024-01-06
3516,6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,white,slightly dissatisfied,2023-01-13
3517,7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,red,slightly dissatisfied,2022-05-15
3518,13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,red,neutral,2022-08-05
3519,6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,white,neutral,2023-08-24
3520,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,red,neutral,2022-03-31
3521,6.1,0.28,0.22,1.8,0.034,32,116,0.9898,3.36,0.44,12.6,white,neutral,2024-11-05
3522,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,white,slightly dissatisfied,2023-08-24
3523,6.5,0.36,0.36,6.7,0.185,52,151,0.99528,3.17,0.42,9.3,white,slightly dissatisfied,2022-04-06
3524,7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,red,neutral,2024-01-19
3525,6.9,0.21,0.28,2.4,0.056,49,159,0.9944,3.02,0.47,8.8,white,moderately satisfied,2023-07-06
3526,5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,white,slightly dissatisfied,2023-05-23
3527,8.9,0.75,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,red,neutral,2022-07-08
3528,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,red,slightly dissatisfied,2022-11-08
3529,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,red,moderately satisfied,2022-04-06
3530,6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,white,neutral,2024-03-02
3531,8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,white,neutral,2023-12-20
3532,9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,red,slightly dissatisfied,2022-09-06
3533,6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,white,neutral,2022-03-17
3534,8.6,0.65,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,red,neutral,2024-02-29
3535,7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,white,neutral,2024-07-29
3536,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,white,neutral,2024-02-27
3537,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,white,neutral,2024-10-19
3538,6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13,white,slightly dissatisfied,2023-01-28
3539,6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,white,slightly satisfied,2022-07-05
3540,6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,white,slightly dissatisfied,2024-05-22
3541,7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,red,slightly satisfied,2022-12-20
3542,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,red,slightly satisfied,2023-04-13
3543,6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,red,neutral,2023-10-18
3544,8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,white,slightly dissatisfied,2024-01-30
3545,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,red,slightly dissatisfied,2023-05-12
3546,7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2,white,neutral,2023-08-29
3547,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,red,neutral,2024-08-01
3548,10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,red,slightly dissatisfied,2022-04-11
3549,5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,white,slightly dissatisfied,2022-07-31
3550,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,white,neutral,2024-01-04
3551,6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,white,slightly satisfied,2024-11-29
3552,6.5,0.22,0.5,16.4,0.048,36,182,0.99904,3.02,0.49,8.8,white,neutral,2023-10-08
3553,5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,white,neutral,2022-05-16
3554,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,white,slightly dissatisfied,2024-03-21
3555,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,red,slightly dissatisfied,2024-01-19
3556,6.3,0.22,0.34,1.2,0.036,32,96,0.98961,3.06,0.74,11.6,white,neutral,2023-08-25
3557,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,white,slightly satisfied,2023-02-25
3558,6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,white,neutral,2024-10-12
3559,7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,red,moderately dissatisfied,2023-08-02
3560,10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,red,neutral,2022-12-14
3561,8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,white,neutral,2023-07-21
3562,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,white,slightly satisfied,2023-01-15
3563,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,red,neutral,2022-08-21
3564,7.2,0.13,0.46,1.3,0.044,48,111,0.99127,2.97,0.45,11.1,white,slightly dissatisfied,2022-11-03
3565,6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,white,neutral,2022-09-16
3566,5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,white,slightly satisfied,2022-11-16
3567,6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,white,slightly satisfied,2022-07-21
3568,7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,white,slightly dissatisfied,2024-10-14
3569,6.9,0.2,0.28,1.2,0.048,36,159,0.9936,3.19,0.43,9.1,white,neutral,2023-06-07
3570,6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,white,slightly dissatisfied,2024-11-14
3571,6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,white,neutral,2023-01-14
3572,6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,white,neutral,2022-11-01
3573,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,red,neutral,2023-04-23
3574,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,red,slightly dissatisfied,2024-06-15
3575,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,white,slightly dissatisfied,2024-07-17
3576,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,red,neutral,2024-07-22
3577,6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,white,slightly dissatisfied,2023-11-21
3578,6.6,0.09,0.33,1.4,0.036,17,109,0.99306,3.27,0.61,9.5,white,neutral,2024-07-16
3579,6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9,white,neutral,2023-01-22
3580,5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,white,neutral,2024-03-25
3581,6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,white,neutral,2022-10-04
3582,5.6,0.25,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,white,slightly dissatisfied,2022-10-05
3583,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,white,moderately dissatisfied,2024-03-23
3584,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,red,slightly dissatisfied,2024-11-21
3585,7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,white,slightly dissatisfied,2023-02-19
3586,6.6,0.26,0.38,6.5,0.17,68,201,0.9956,3.19,0.38,9.4,white,neutral,2023-10-01
3587,6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,white,neutral,2023-11-20
3588,6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4,white,neutral,2024-06-06
3589,7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,red,neutral,2022-11-05
3590,6.8,0.3,0.22,6.2,0.06,41,190,0.99858,3.18,0.51,9.2,white,slightly dissatisfied,2022-06-27
3591,7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,white,slightly dissatisfied,2023-11-03
3592,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,red,slightly dissatisfied,2024-11-29
3593,6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,white,neutral,2023-07-02
3594,5.2,0.37,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,white,neutral,2022-06-14
3595,6.6,0.28,0.3,7.8,0.049,57,202,0.9958,3.24,0.39,9.5,white,slightly dissatisfied,2024-10-06
3596,9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,white,neutral,2023-05-09
3597,8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,white,neutral,2023-07-26
3598,8.2,0.35,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,white,slightly dissatisfied,2022-11-08
